Success,Time,Threshold,Dataset
True,65,0.01,TD3
True,45,0.01,TD3
True,66,0.01,TD3
True,36,0.01,TD3
True,22,0.01,TD3
True,79,0.01,TD3
True,80,0.01,TD3
True,19,0.01,TD3
True,67,0.01,TD3
True,47,0.01,TD3
True,42,0.01,TD3
True,61,0.01,TD3
True,38,0.01,TD3
True,78,0.01,TD3
True,51,0.01,TD3
True,44,0.01,TD3
True,72,0.01,TD3
True,31,0.01,TD3
True,24,0.01,TD3
True,84,0.01,TD3
True,40,0.01,TD3
True,31,0.01,TD3
True,37,0.01,TD3
True,37,0.01,TD3
True,26,0.01,TD3
True,36,0.01,TD3
True,80,0.01,TD3
True,36,0.01,TD3
True,45,0.01,TD3
True,39,0.01,TD3
True,48,0.01,TD3
True,49,0.01,TD3
True,25,0.01,TD3
True,12,0.01,TD3
True,15,0.01,TD3
True,83,0.01,TD3
True,36,0.01,TD3
True,28,0.01,TD3
True,40,0.01,TD3
True,60,0.01,TD3
True,65,0.01,TD3
True,89,0.01,TD3
True,35,0.01,TD3
True,39,0.01,TD3
True,27,0.01,TD3
True,35,0.01,TD3
True,45,0.01,TD3
True,83,0.01,TD3
True,39,0.01,TD3
True,76,0.01,TD3
True,49,0.01,TD3
True,54,0.01,TD3
True,99,0.01,TD3
True,86,0.01,TD3
True,75,0.01,TD3
True,36,0.01,TD3
True,51,0.01,TD3
True,42,0.01,TD3
True,38,0.01,TD3
True,27,0.01,TD3
True,37,0.01,TD3
True,47,0.01,TD3
True,76,0.01,TD3
True,72,0.01,TD3
True,67,0.01,TD3
True,72,0.01,TD3
True,37,0.01,TD3
True,52,0.01,TD3
True,57,0.01,TD3
True,104,0.01,TD3
True,78,0.01,TD3
True,82,0.01,TD3
True,74,0.01,TD3
True,27,0.01,TD3
True,55,0.01,TD3
True,68,0.01,TD3
True,33,0.01,TD3
True,38,0.01,TD3
True,55,0.01,TD3
True,27,0.01,TD3
True,52,0.01,TD3
True,81,0.01,TD3
True,79,0.01,TD3
True,35,0.01,TD3
True,19,0.01,TD3
True,68,0.01,TD3
True,68,0.01,TD3
True,111,0.01,TD3
True,92,0.01,TD3
True,60,0.01,TD3
True,56,0.01,TD3
True,48,0.01,TD3
True,39,0.01,TD3
True,55,0.01,TD3
True,45,0.01,TD3
True,39,0.01,TD3
True,43,0.01,TD3
True,55,0.01,TD3
True,45,0.01,TD3
True,31,0.01,TD3
