Success,Time,Epoch,Dataset
True,33,50,Full
True,33,50,Full
True,87,50,Full
True,58,50,Full
True,83,50,Full
True,72,50,Full
True,65,50,Full
True,55,50,Full
True,43,50,Full
True,77,50,Full
True,74,50,Full
True,36,50,Full
True,62,50,Full
True,39,50,Full
True,90,50,Full
True,54,50,Full
True,49,50,Full
True,37,50,Full
True,54,50,Full
True,13,50,Full
True,51,50,Full
True,21,50,Full
True,45,50,Full
True,54,50,Full
True,73,50,Full
True,69,50,Full
True,54,50,Full
True,111,50,Full
True,66,50,Full
True,26,50,Full
True,40,50,Full
True,63,50,Full
True,40,50,Full
True,50,50,Full
True,25,50,Full
True,40,50,Full
True,66,50,Full
True,51,50,Full
True,36,50,Full
True,45,50,Full
True,44,50,Full
True,51,50,Full
True,58,50,Full
True,40,50,Full
True,67,50,Full
True,57,50,Full
True,64,50,Full
True,67,50,Full
True,60,50,Full
True,58,50,Full
True,46,50,Full
True,88,50,Full
True,60,50,Full
True,68,50,Full
True,47,50,Full
True,55,50,Full
True,31,50,Full
True,57,50,Full
True,53,50,Full
True,54,50,Full
True,48,50,Full
True,87,50,Full
True,74,50,Full
True,65,50,Full
True,57,50,Full
True,57,50,Full
True,55,50,Full
True,56,50,Full
True,24,50,Full
True,43,50,Full
True,21,50,Full
True,83,50,Full
True,57,50,Full
True,52,50,Full
True,20,50,Full
True,40,50,Full
True,36,50,Full
True,69,50,Full
True,59,50,Full
True,58,50,Full
True,59,50,Full
True,14,50,Full
True,33,50,Full
True,75,50,Full
True,40,50,Full
True,40,50,Full
True,45,50,Full
True,31,50,Full
True,81,50,Full
True,54,50,Full
True,49,50,Full
True,41,50,Full
True,93,50,Full
True,82,50,Full
True,21,50,Full
True,70,50,Full
True,43,50,Full
True,31,50,Full
True,67,50,Full
True,35,50,Full
True,61,50,Half
True,44,50,Half
True,59,50,Half
True,90,50,Half
True,45,50,Half
True,26,50,Half
True,27,50,Half
True,28,50,Half
True,50,50,Half
True,46,50,Half
True,38,50,Half
True,47,50,Half
True,23,50,Half
True,74,50,Half
True,36,50,Half
True,56,50,Half
True,46,50,Half
True,44,50,Half
