Success,Time,Radius,Dataset
True,41,0.019,full
True,16,0.019,full
True,54,0.019,full
True,77,0.019,full
True,59,0.019,full
True,48,0.019,full
True,100,0.019,full
True,14,0.019,full
True,54,0.019,full
True,44,0.019,full
True,78,0.019,full
True,57,0.019,full
True,60,0.019,full
True,69,0.019,full
True,54,0.019,full
True,35,0.019,full
True,63,0.019,full
True,44,0.019,full
True,41,0.019,full
True,59,0.019,full
True,76,0.019,full
True,49,0.019,full
True,40,0.019,full
True,21,0.019,full
True,67,0.019,full
True,23,0.019,full
True,29,0.019,full
True,50,0.019,full
True,101,0.019,full
True,73,0.019,full
True,57,0.019,full
True,40,0.019,full
True,75,0.019,full
True,26,0.019,full
True,76,0.019,full
True,78,0.019,full
True,74,0.019,full
True,30,0.019,full
True,34,0.019,full
True,24,0.019,full
True,57,0.019,full
True,81,0.019,full
True,24,0.019,full
True,76,0.019,full
True,75,0.019,full
True,56,0.019,full
True,63,0.019,full
True,20,0.019,full
True,71,0.019,full
True,19,0.019,full
True,55,0.019,full
True,59,0.019,full
True,29,0.019,full
True,31,0.019,full
True,65,0.019,full
True,81,0.019,full
True,43,0.019,full
True,83,0.019,full
True,87,0.019,full
True,37,0.019,full
True,35,0.019,full
True,69,0.019,full
True,38,0.019,full
True,29,0.019,full
True,67,0.019,full
True,25,0.019,full
True,23,0.019,full
True,26,0.019,full
True,52,0.019,full
True,77,0.019,full
True,39,0.019,full
True,49,0.019,full
True,65,0.019,full
True,79,0.019,full
True,59,0.019,full
True,28,0.019,full
True,69,0.019,full
True,64,0.019,full
True,95,0.019,full
True,35,0.019,full
True,60,0.019,full
True,66,0.019,full
True,54,0.019,full
True,16,0.019,full
True,82,0.019,full
True,46,0.019,full
True,43,0.019,full
True,25,0.019,full
True,48,0.019,full
True,57,0.019,full
True,74,0.019,full
True,30,0.019,full
True,40,0.019,full
True,78,0.019,full
True,32,0.019,full
True,44,0.019,full
True,49,0.019,full
True,31,0.019,full
True,44,0.019,full
True,28,0.019,full
True,17,0.018,full
True,29,0.018,full
True,69,0.018,full
True,75,0.018,full
True,31,0.018,full
True,52,0.018,full
True,91,0.018,full
True,45,0.018,full
True,46,0.018,full
True,28,0.018,full
True,27,0.018,full
True,39,0.018,full
True,28,0.018,full
True,35,0.018,full
True,53,0.018,full
True,58,0.018,full
True,14,0.018,full
True,58,0.018,full
True,79,0.018,full
True,58,0.018,full
True,53,0.018,full
True,37,0.018,full
True,59,0.018,full
True,51,0.018,full
True,48,0.018,full
True,42,0.018,full
True,61,0.018,full
True,96,0.018,full
True,70,0.018,full
True,39,0.018,full
True,41,0.018,full
True,106,0.018,full
True,58,0.018,full
True,53,0.018,full
True,63,0.018,full
True,52,0.018,full
True,45,0.018,full
True,91,0.018,full
True,45,0.018,full
True,42,0.018,full
True,84,0.018,full
True,54,0.018,full
True,43,0.018,full
True,60,0.018,full
True,67,0.018,full
True,29,0.018,full
True,16,0.018,full
True,34,0.018,full
True,46,0.018,full
True,33,0.018,full
True,59,0.018,full
True,21,0.018,full
True,55,0.018,full
True,55,0.018,full
True,52,0.018,full
True,27,0.018,full
True,94,0.018,full
True,73,0.018,full
True,49,0.018,full
True,82,0.018,full
True,44,0.018,full
True,54,0.018,full
True,45,0.018,full
True,62,0.018,full
True,67,0.018,full
True,46,0.018,full
True,83,0.018,full
True,31,0.018,full
True,41,0.018,full
True,22,0.018,full
True,23,0.018,full
True,28,0.018,full
True,49,0.018,full
True,41,0.018,full
True,31,0.018,full
True,24,0.018,full
True,64,0.018,full
True,44,0.018,full
True,62,0.018,full
True,60,0.018,full
True,68,0.018,full
True,74,0.018,full
True,55,0.018,full
True,56,0.018,full
True,29,0.018,full
True,56,0.018,full
True,54,0.018,full
True,72,0.018,full
True,15,0.018,full
True,52,0.018,full
True,65,0.018,full
True,28,0.018,full
True,36,0.018,full
True,46,0.018,full
