Success,Time,Threshold,Dataset
True,85,0.005,full
True,16,0.005,full
True,34,0.005,full
True,48,0.005,full
True,36,0.005,full
True,57,0.005,full
True,48,0.005,full
True,78,0.005,full
True,45,0.005,full
True,50,0.005,full
True,44,0.005,full
True,31,0.005,full
True,52,0.005,full
True,67,0.005,full
True,68,0.005,full
True,35,0.005,full
True,66,0.005,full
True,30,0.005,full
True,49,0.005,full
True,32,0.005,full
True,42,0.005,full
True,83,0.005,full
True,66,0.005,full
True,24,0.005,full
True,65,0.005,full
True,35,0.005,full
True,64,0.005,full
True,77,0.005,full
True,64,0.005,full
True,53,0.005,full
True,66,0.005,full
True,86,0.005,full
True,61,0.005,full
True,71,0.005,full
True,59,0.005,full
True,27,0.005,full
True,76,0.005,full
True,84,0.005,full
True,78,0.005,full
True,68,0.005,full
True,45,0.005,full
True,71,0.005,full
True,46,0.005,full
True,79,0.005,full
True,51,0.005,full
True,62,0.005,full
True,66,0.005,full
True,86,0.005,full
True,46,0.005,full
True,57,0.005,full
True,47,0.005,full
True,58,0.005,full
True,54,0.005,full
True,68,0.005,full
True,75,0.005,full
True,44,0.005,full
True,70,0.005,full
True,49,0.005,full
True,29,0.005,full
True,18,0.005,full
True,40,0.005,full
True,47,0.005,full
True,82,0.005,full
True,37,0.005,full
True,43,0.005,full
True,55,0.005,full
True,65,0.005,full
True,30,0.005,full
True,28,0.005,full
True,69,0.005,full
True,79,0.005,full
True,51,0.005,full
True,36,0.005,full
True,74,0.005,full
True,57,0.005,full
True,27,0.005,full
True,39,0.005,full
True,87,0.005,full
True,19,0.005,full
True,22,0.005,full
True,78,0.005,full
True,64,0.005,full
True,47,0.005,full
True,106,0.005,full
True,55,0.005,full
True,89,0.005,full
True,79,0.005,full
True,45,0.005,full
True,53,0.005,full
True,36,0.005,full
True,81,0.005,full
True,49,0.005,full
True,46,0.005,full
True,35,0.005,full
True,30,0.005,full
True,49,0.005,full
True,52,0.005,full
True,38,0.005,full
True,81,0.005,full
True,32,0.005,full
True,76,0.003,full
True,52,0.003,full
True,73,0.003,full
True,40,0.003,full
True,57,0.003,full
True,32,0.003,full
True,46,0.003,full
True,26,0.003,full
True,79,0.003,full
True,49,0.003,full
True,45,0.003,full
True,30,0.003,full
True,46,0.003,full
True,40,0.003,full
True,34,0.003,full
True,79,0.003,full
True,87,0.003,full
True,81,0.003,full
True,55,0.003,full
True,70,0.003,full
True,74,0.003,full
True,31,0.003,full
True,68,0.003,full
True,54,0.003,full
True,41,0.003,full
True,54,0.003,full
True,51,0.003,full
True,25,0.003,full
True,48,0.003,full
True,30,0.003,full
True,57,0.003,full
True,66,0.003,full
True,43,0.003,full
True,94,0.003,full
True,51,0.003,full
True,53,0.003,full
True,55,0.003,full
True,59,0.003,full
True,52,0.003,full
True,28,0.003,full
True,90,0.003,full
