Success,Time,Epoch,Dataset
True,88,1,Full
True,54,1,Full
True,34,1,Full
True,83,1,Full
True,82,1,Full
True,16,1,Full
True,65,1,Full
True,81,1,Full
True,28,1,Full
True,24,1,Full
True,87,2,Full
True,58,2,Full
True,84,2,Full
True,33,2,Full
True,42,2,Full
True,28,2,Full
True,15,2,Full
True,19,2,Full
True,43,2,Full
True,31,2,Full
True,73,3,Full
True,38,3,Full
True,77,3,Full
True,32,3,Full
True,50,3,Full
True,44,3,Full
True,58,3,Full
True,47,3,Full
True,38,3,Full
True,32,3,Full
True,34,4,Full
True,73,4,Full
True,59,4,Full
True,60,4,Full
True,61,4,Full
True,48,4,Full
True,36,4,Full
True,77,4,Full
True,31,4,Full
True,48,4,Full
True,81,5,Full
True,15,5,Full
True,67,5,Full
True,87,5,Full
True,63,5,Full
True,67,5,Full
True,44,5,Full
True,40,5,Full
True,61,5,Full
True,77,5,Full
True,40,6,Full
True,62,6,Full
True,44,6,Full
True,18,6,Full
True,62,6,Full
True,57,6,Full
True,39,6,Full
True,58,6,Full
True,44,6,Full
True,43,6,Full
True,76,7,Full
True,73,7,Full
True,54,7,Full
True,26,7,Full
True,60,7,Full
True,108,7,Full
True,43,7,Full
True,40,7,Full
True,62,7,Full
True,52,7,Full
True,39,8,Full
True,34,8,Full
True,70,8,Full
True,39,8,Full
True,58,8,Full
True,69,8,Full
True,41,8,Full
True,32,8,Full
True,55,8,Full
True,61,8,Full
True,18,9,Full
True,35,9,Full
True,61,9,Full
True,79,9,Full
True,56,9,Full
True,47,9,Full
True,28,9,Full
True,69,9,Full
True,59,9,Full
True,79,9,Full
True,93,10,Full
True,65,10,Full
True,65,10,Full
True,41,10,Full
True,22,10,Full
True,74,10,Full
True,17,10,Full
True,57,10,Full
True,47,10,Full
True,58,10,Full
True,77,11,Full
True,52,11,Full
True,61,11,Full
True,27,11,Full
True,53,11,Full
True,13,11,Full
True,19,11,Full
True,58,11,Full
True,38,11,Full
True,49,11,Full
True,28,12,Full
True,40,12,Full
True,57,12,Full
True,39,12,Full
True,74,12,Full
True,41,12,Full
True,79,12,Full
True,65,12,Full
True,37,12,Full
True,88,12,Full
True,43,13,Full
True,32,13,Full
True,60,13,Full
True,68,13,Full
True,32,13,Full
True,13,13,Full
True,18,13,Full
True,79,13,Full
True,61,13,Full
True,31,13,Full
True,55,14,Full
True,25,14,Full
True,60,14,Full
True,35,14,Full
True,45,14,Full
True,46,14,Full
True,48,14,Full
True,38,14,Full
True,60,14,Full
True,21,14,Full
True,63,15,Full
True,55,15,Full
True,63,15,Full
